ds,y
7/20/2023,40.88
7/21/2023,41.34
7/22/2023,37.33
7/23/2023,28.44
7/24/2023,37.06
7/25/2023,45.19
7/26/2023,80.55
7/27/2023,84.1
7/28/2023,45.02
7/29/2023,86.17
7/30/2023,31.26
7/31/2023,51.79
8/1/2023,51.35
8/2/2023,39.53
8/3/2023,36.51
8/4/2023,30.41
8/5/2023,51.17
8/6/2023,28.15
8/7/2023,28.65
8/8/2023,41.97
8/9/2023,34.84
8/10/2023,34.64
8/11/2023,42.03
8/12/2023,34.21
8/13/2023,41.87
8/14/2023,27.35
8/15/2023,28.68
8/16/2023,31.4
8/17/2023,29.76
8/18/2023,29.14
8/19/2023,28.74
8/20/2023,26.21
8/21/2023,29.22
8/22/2023,33.34
8/23/2023,29.57
8/24/2023,27.96
8/25/2023,33.48
8/26/2023,30.22
8/27/2023,27
8/28/2023,31.89
8/29/2023,28.28
8/30/2023,31.73
8/31/2023,32.47
9/1/2023,34.81
9/2/2023,32.84
9/3/2023,28.82
9/14/2023,32.81
9/15/2023,30.38
9/16/2023,32.81
9/17/2023,27.21
9/18/2023,28.98
9/20/2023,27.8
9/21/2023,32.64
9/22/2023,30.49
9/23/2023,30.38
9/24/2023,29.81
9/25/2023,31.59
9/26/2023,34.16
9/27/2023,31.4
9/28/2023,29.84
9/29/2023,30.96
9/30/2023,32.64
10/1/2023,29.52
10/2/2023,32.95
10/3/2023,33.96
10/4/2023,30.98
10/5/2023,33.79
10/6/2023,34.33
10/7/2023,32.06
10/8/2023,30.55
10/9/2023,32.09
10/10/2023,31.86
10/11/2023,30.85
10/12/2023,32.31
10/13/2023,32.67
10/14/2023,34.24
10/15/2023,32.25
10/16/2023,30.36
10/17/2023,33.2
10/18/2023,33.14
10/19/2023,34.18
10/20/2023,34.16
10/21/2023,34.75
10/22/2023,28.44
10/23/2023,34.67
10/24/2023,28.68
10/25/2023,30.11
10/26/2023,34.04
10/27/2023,29.46
10/28/2023,27.51
10/29/2023,29.17
10/30/2023,27.91
10/31/2023,29.65
11/1/2023,30.33
11/2/2023,27.08
11/3/2023,29.68
11/4/2023,30.71
11/5/2023,27.64
11/6/2023,29.54
11/7/2023,29.33
11/8/2023,27.59
11/9/2023,27.43
11/10/2023,27.43
11/11/2023,27.88
11/12/2023,25.21
11/15/2023,26.02
11/16/2023,26.87
11/17/2023,26.84
11/18/2023,27.61
11/19/2023,27.24
11/20/2023,28.2
11/21/2023,27.96
11/22/2023,26.53
11/23/2023,28.52
11/24/2023,27.43
11/25/2023,27.83
11/26/2023,27.08
11/27/2023,26.08
11/28/2023,26.08
11/29/2023,26.1
11/30/2023,26.39
12/1/2023,26.13
12/2/2023,26.68
12/3/2023,26.74
12/4/2023,27.48
12/5/2023,26.23
12/6/2023,25.95
12/7/2023,25.84
12/8/2023,25.71
12/9/2023,25.84
12/10/2023,25.89
12/11/2023,26.02
12/12/2023,31.7
12/13/2023,29.25
12/14/2023,31.04
12/15/2023,26.95
12/16/2023,26.74
12/17/2023,24.35
12/18/2023,28.15
12/19/2023,25.11
12/20/2023,30.66
12/21/2023,34.89
12/22/2023,28.68
12/23/2023,26.92
12/24/2023,24.69
12/25/2023,26.05
12/26/2023,26.42
12/27/2023,25.81
12/28/2023,26.29
12/29/2023,26.16
1/1/2024,24.35
1/2/2024,30.74
1/3/2024,28.31
1/4/2024,29
1/5/2024,31.62
1/6/2024,33.23
1/7/2024,29.89
1/8/2024,32.34
1/9/2024,32.22
1/10/2024,31.98
1/11/2024,28.6
